en,sl
"32013 R 0427: Commission Implementing Regulation (EU) No 427/2013 of 8 May 2013 concerning the authorisation of selenomethionine produced by Saccharomyces cerevisiae NCYC R646 as a feed additive for all animal species and amending Regulations (EC) No 1750/2006, (EC) No 634/2007 and (EC) No 900/2009 as regards the maximum supplementation with selenised yeast (OJ L 127, 9.5.2013, p. 20).","32013 R 0427: Izvedbena uredba Komisije (EU) št. 427/2013 z dne 8. maja 2013 o izdaji dovoljenja za selenometionin, ki ga proizvajajo iz Saccharomyces cerevisiae NCYC R646, kot krmni dodatek za vse živalske vrste ter o spremembi uredb (ES) št. 1750/2006, (ES) št. 634/2007 in (ES) št. 900/2009 v zvezi z največjim dodatkom seleniziranih kvasovk (UL L 127, 9.5.2013, str. 20)."
"32013 R 0544: Commission Implementing Regulation (EU) No 544/2013 of 14 June 2013 concerning the authorisation of a preparation of Bifidobacterium animalis ssp. animalis DSM 16284, Lactobacillus salivarius ssp. salivarius DSM 16351 and Enterococcus faecium DSM 21913 as a feed additive for chickens for fattening (holder of authorisation Biomin GmbH) (OJ L 163, 15.6.2013, p. 13).","32013 R 0544: Izvedbena uredba Komisije (EU) št. 544/2013 z dne 14. junija 2013 o izdaji dovoljenja za pripravek iz Bifidobacterium animalis ssp. animalis DSM 16284, Lactobacillus salivarius ssp. salivarius DSM 16351 in Enterococcus faecium DSM 21913 kot krmni dodatek za piščance za pitanje (imetnik dovoljenja Biomin GmbH) (UL L 163, 15.6.2013, str. 13)."
"32013 R 0642: Commission Implementing Regulation (EU) No 642/2013 of 4 July 2013 concerning the authorisation of niacin and niacinamide as feed additives for all animal species (OJ L 186, 5.7.2013, p. 4).","32013 R 0642: Izvedbena uredba Komisije (EU) št. 642/2013 z dne 4. julija 2013 o izdaji dovoljenj za niacin in niacinamid kot krmna dodatka za vse živalske vrste (UL L 186, 5.7.2013, str. 4)."
"32013 R 0643: Commission Implementing Regulation (EU) No 643/2013 of 4 July 2013 concerning the authorisation of Patent Blue V as a feed additive for non-food producing animals and amending Regulation (EC) No 358/2005 (OJ L 186, 5.7.2013, p. 7).","32013 R 0643: Izvedbena uredba Komisije (EU) št. 643/2013 z dne 4. julija 2013 o izdaji dovoljenja za modro V (Patent Blue V) kot krmni dodatek za živali, ki niso namenjene proizvodnji živil, in spremembi Uredbe (ES) št. 358/2005 (UL L 186, 5.7.2013, str. 7)."
"32013 R 0651: Commission Implementing Regulation (EU) No 651/2013 of 9 July 2013 concerning the authorisation of clinoptilolite of sedimentary origin as a feed additive for all animal species and amending Regulation (EC) No 1810/2005 (OJ L 189, 10.7.2013, p. 1).","32013 R 0651: Izvedbena uredba Komisije (EU) št. 651/2013 z dne 9. julija 2013 o izdaji dovoljenja za klinoptilolit sedimentarnega izvora kot krmni dodatek za vse živalske vrste in spremembi Uredbe (ES) št. 1810/2005 (UL L 189, 10.7.2013, str. 1)."
"32013 R 0725: Commission Implementing Regulation (EU) No 725/2013 of 26 July 2013 concerning the authorisation of ammonium chloride as a feed additive for ruminants, cats and dogs (holder of the authorisation BASF SE) (OJ L 202, 27.7.2013, p. 17).’","32013 R 0725: Izvedbena uredba Komisije (EU) št. 725/2013 z dne 26. julija 2013 o izdaji dovoljenja za amonijev klorid kot krmni dodatek za prežvekovalce, pse in mačke (imetnik dovoljenja BASF SE) (UL L 202, 27.7.2013, str. 17).“"
Article 2,Člen 2
"The texts of Implementing Regulations (EU) No 288/2013, (EU) No 427/2013, (EU) No 544/2013, (EU) No 642/2013, (EU) No 643/2013, (EU) No 651/2013 and (EU) No 725/2013 in the Icelandic and Norwegian languages, to be published in the EEA Supplement to the Official Journal of the European Union, shall be authentic.","Besedila izvedbenih uredb (EU) št. 288/2013, (EU) št. 427/2013, (EU) št. 544/2013, (EU) št. 642/2013, (EU) št. 643/2013, (EU) št. 651/2013 in (EU) št. 725/2013 v islandskem in norveškem jeziku, objavljena v Dopolnilu EGP k Uradnemu listu Evropske unije, so verodostojna."
Article 3,Člen 3
"This Decision shall enter into force on 14 December 2013, provided that all the notifications under Article 103(1) of the EEA Agreement have been made [8].","Ta sklep začne veljati 14. decembra 2013 pod pogojem, da so bila predložena vsa uradna obvestila v skladu s členom 103(1) Sporazuma EGP [8]."
Article 4,Člen 4
"This Decision shall be published in the EEA Section of, and in the EEA Supplement to, the Official Journal of the European Union.",Ta sklep se objavi v sklopu EGP Uradnega lista Evropske unije in Dopolnilu EGP k Uradnemu listu Evropske unije.
"Done at Brussels, 13 December 2013.","V Bruslju, 13. decembra 2013"
For the EEA Joint Committee,Za Skupni odbor EGP
The President,Predsednik
"OJ L 86, 26.3.2013, p. 15.","UL L 86, 26.3.2013, str. 15."
"OJ L 127, 9.5.2013, p. 20.","UL L 127, 9.5.2013, str. 20."
"OJ L 163, 15.6.2013, p. 13.","UL L 163, 15.6.2013, str. 13."
"OJ L 186, 5.7.2013, p. 4.","UL L 186, 5.7.2013, str. 4."
"OJ L 186, 5.7.2013, p. 7.","UL L 186, 5.7.2013, str. 7."
"OJ L 189, 10.7.2013, p. 1.","UL L 189, 10.7.2013, str. 1."
"OJ L 202, 27.7.2013, p. 17.","UL L 202, 27.7.2013, str. 17."
No constitutional requirements indicated.,Navedena ni nobena ustavna zahteva.
Agreement,Sporazum
between the European Union and the Republic of Turkey on the readmission of persons residing without authorisation,"med Evropsko unijo in Republiko Turčijo o ponovnem sprejemu oseb, ki prebivajo brez dovoljenja"
"THE HIGH CONTRACTING PARTIES,","VISOKI POGODBENICI,"
"THE EUROPEAN UNION, hereinafter referred to as ‘the Union’,","EVROPSKA UNIJA, v nadaljnjem besedilu: Unija,"
"THE REPUBLIC OF TURKEY, hereinafter referred to as ‘Turkey’,","REPUBLIKA TURČIJA, v nadaljnjem besedilu: Turčija,"
"DETERMINED to strengthen their co-operation in order to combat illegal immigration more effectively,","ODLOČENI, da okrepita svoje sodelovanje za učinkovitejši boj proti nezakonitemu priseljevanju,"
"DESIRING to establish, by means of this Agreement and on the basis of reciprocity, effective and swift procedures for the identification and safe and orderly return of persons who do not or who no longer, fulfil the conditions for entry to, presence in, or residence on the territories of Turkey or one of the Member States of the Union, and to facilitate the transit of such persons in a spirit of co-operation,","V ŽELJI, da bi s tem sporazumom in na podlagi vzajemnosti vzpostavili učinkovite in hitre postopke za identifikacijo ter varno in urejeno vračanje oseb, ki ne izpolnjujejo ali več ne izpolnjujejo pogojev za vstop, prisotnost ali prebivanje na ozemljih Turčije ali ene od držav članic Unije, in olajšali tranzit takih oseb v duhu sodelovanja,"
"EMPHASISING that this Agreement shall be without prejudice to the rights, obligations and responsibilities of the Union, its Member States and Turkey arising from international law and, in particular, from the European Convention of 4 November 1950 for the Protection of Human Rights and Fundamental Freedoms and the Convention of 28 July 1951 on the Status of Refugees,","OB POUDARJANJU, da ta sporazum ne posega v pravice, obveznosti in odgovornosti Unije, njenih držav članic in Turčije, ki izhajajo iz mednarodnega prava in zlasti iz Evropske konvencije o varstvu človekovih pravic in temeljnih svoboščin z dne 4. novembra 1950 ter Konvencije o statusu beguncev z dne 28. julija 1951,"
"EMPHASISING that this Agreement shall be without prejudice to the rights and procedural guarantees for persons who are subject to return procedures in or who apply for asylum in a Member State as laid down in the respective legal instruments of the Union,","OB POUDARJANJU, da ta sporazum ne posega v pravice in procesna jamstva za osebe, ki so v postopku vračanja ali zaprosijo za azil v eni od držav članic, kakor to določajo zadevni pravni akti Unije,"
"EMPHASISING that this Agreement shall be without prejudice to the provision of the Agreement of 12 September 1963 establishing an Association between the European Economic Community and Turkey, its additional protocols, the relevant Association Council decisions as well as the relevant case-law of the Court of Justice of the European Union,","OB POUDARJANJU, da ta sporazum ne posega v izvajanje Sporazuma o pridružitvi med Evropsko gospodarsko skupnostjo in Turčijo z dne 12. septembra 1963, njegovih dodatnih protokolov, zadevnih sklepov Pridružitvenega sveta ter relevantno sodno prakso Sodišča Evropske unije,"
"EMPHASISING that the persons holding a long term residence permit granted under the terms of Council Directive 2003/109/EC concerning the status of third-country nationals who are long-term residents enjoy a reinforced protection against expulsion under Article 12 of that Directive,","OB POUDARJANJU, da osebe, ki imajo dovoljenje za prebivanje za daljši čas, dodeljeno v skladu z Direktivo Sveta 2003/109/ES o statusu državljanov tretjih držav, ki so rezidenti za daljši čas, uživajo okrepljeno zaščito pred izgonom v skladu s členom 12 navedene direktive,"
"EMPHASISING that this Agreement is based on the principles of joint responsibility, solidarity, and an equal partnership to manage the migratory flows between Turkey and the Union and that in this context the Union is ready to make available financial resources in order to support Turkey in its implementation,","OB POUDARJANJU, da ta sporazum temelji na načelih skupne odgovornosti, solidarnosti in enakovrednega partnerstva za upravljanje migracijskih tokov med Turčijo in Unijo ter da je Unija v zvezi s tem pripravljena dati na voljo finančna sredstva za podporo Turčiji pri njegovem izvajanju,"
"CONSIDERING that the provisions of this Agreement, which falls within the scope of Title V of Part Three of the Treaty on the Functioning of the European Union, do not apply to the United Kingdom and Ireland, unless they ‘opt-in’ in accordance with the Protocol on the position of the United Kingdom and Ireland in Respect of the Area of Freedom, Security and Justice Annexed to the Treaty on European Union and the Treaty on the Functioning of the European Union,","OB UPOŠTEVANJU, da določbe tega sporazuma, ki spada pod naslov V tretjega dela Pogodbe o delovanju Evropske unije, ne veljajo za Združeno kraljestvo in Irsko, razen če se odločita sodelovati v skladu s Protokolom o stališču Združenega kraljestva in Irske glede območja svobode, varnosti in pravice, ki je priložen Pogodbi o Evropski uniji in Pogodbi o delovanju Evropske unije,"
"CONSIDERING that the provisions of this Agreement, which falls within the scope of Title V of Part Three of the Treaty on the Functioning of the European Union, do not apply to the Kingdom of Denmark, in accordance with the Protocol on the position of Denmark Annexed to the Treaty on European Union and the Treaty on the Functioning of the European Union,","OB UPOŠTEVANJU, da določbe tega sporazuma, ki spada pod naslov V tretjega dela Pogodbe o delovanju Evropske unije, ne veljajo za Kraljevino Dansko v skladu s Protokolom o stališču Danske, ki je priložen Pogodbi o Evropski uniji in Pogodbi o delovanju Evropske unije –"
HAVE AGREED AS FOLLOWS:,STA SE DOGOVORILI O NASLEDNJEM:
Article 1,Člen 1
Definitions,Opredelitev pojmov
For the purpose of this Agreement:,Za namene tega sporazuma:
‘Contracting Parties’ shall mean Turkey and the Union;,„pogodbenici“ pomeni Turčijo in Unijo;
‘National of Turkey’ shall mean any person who holds the nationality of Turkey in accordance with its legislation;,"„državljan Turčije“ pomeni vsako osebo, ki ima državljanstvo Turčije v skladu z njeno zakonodajo;"
‘National of a Member State’ shall mean any person who holds the nationality of a Member State of the Union;,"„državljan države članice“ pomeni vsako osebo, ki ima državljanstvo države članice Unije;"
"‘Member State’ shall mean any Member State of the Union, with the exception of the Kingdom of Denmark;",„država članica“ pomeni vsako državo članico Unije z izjemo Kraljevine Danske;
‘Third-country national’ shall mean any person who holds a nationality other than that of Turkey or one of the Member States;,"„državljan tretje države“ pomeni vsako osebo, ki ima državljanstvo, ki ni državljanstvo Turčije ali ene od držav članic;"
‘Stateless person’ shall mean any person who does not hold a nationality of any country;,"„oseba brez državljanstva“ pomeni vsako osebo, ki nima nobenega državljanstva;"
‘Residence permit’ shall mean a permit of any type issued by Turkey or one of the Member States entitling a person to reside on its territory.,"„dovoljenje za prebivanje“ pomeni dovoljenje katere koli vrste, ki ga je izdala Turčija ali ena od držav članic in s katerim je osebi dovoljeno prebivanje na ozemlju zadevne države."
This shall not include temporary permissions to remain on its territory in connection with the processing of an asylum application or an application for a residence permit;,"Ne vključuje začasnih dovoljenj, s katerimi je osebam dovoljeno ostati na ozemlju zadevne države zaradi obravnavanja prošnje za azil ali prošnje za dovoljenje za prebivanje;"
"‘Visa’ shall mean an authorisation issued or a decision taken by Turkey or one of the Member States which is required with a view to entry in, or transit through, its territory.","„vizum“ pomeni dovoljenje, ki ga je izdala, ali odločitev, ki jo je sprejela Turčija ali ena od držav članic, potrebno za vstop ali tranzit prek njenega ozemlja."
This shall not include airport transit visa;,Ne vključuje posebne kategorije letališkega tranzitnega vizuma;
‘Requesting State’ shall mean the State (Turkey or one of the Member States) submitting a readmission application pursuant to Article 8 or a transit application pursuant to Article 15 of this Agreement;,"„država prosilka“ pomeni državo (Turčijo ali eno od držav članic), ki vloži prošnjo za ponovni sprejem na podlagi člena 8 ali prošnjo za tranzit na podlagi člena 15 tega sporazuma;"
‘Requested State’ shall mean the State (Turkey or one of the Member States) to which a readmission application pursuant to Article 8 or a transit application pursuant to Article 15 of this Agreement is addressed;,"„zaprošena država“ pomeni državo (Turčijo ali eno od držav članic), na katero je naslovljena prošnja za ponovni sprejem na podlagi člena 8 ali prošnja za tranzit na podlagi člena 15 tega sporazuma;"
‘Competent Authority’ shall mean any national authority of Turkey or one of the Member States entrusted with the implementation of this Agreement as designated in the implementing protocol in accordance with point (a) of Article 20(1) thereof;,"„pristojni organ“ pomeni vsak nacionalni organ Turčije ali ene od držav članic, ki mu je zaupano izvajanje tega sporazuma, kot je določeno v protokolu o izvajanju v skladu s točko (a) člena 20(1) tega sporazuma;"
"‘Person residing without authorisation’ shall mean any person who, in accordance with the relevant procedures established under national legislation, does not or no longer, fulfil the conditions in force for entry to, presence in, or residence on, the territory of Turkey or of one of the Member States;","„oseba, ki prebiva brez dovoljenja“ pomeni vsako osebo, ki v skladu z ustreznimi postopki iz nacionalne zakonodaje ne izpolnjuje ali več ne izpolnjuje veljavnih pogojev za vstop, prisotnost ali prebivanje na ozemlju Turčije ali ene od držav članic;"
‘Transit’ shall mean the passage of a third country national or a stateless person through the territory of the Requested State while travelling from the Requesting State to the country of destination;,„tranzit“ pomeni prehod državljana tretje države ali osebe brez državljanstva preko ozemlja zaprošene države med potovanjem iz države prosilke v namembno državo;
"‘Readmission’ shall mean the transfer by the Requesting State and admission by the Requested State of persons (nationals of the Requested State, third country nationals or stateless persons) who have been found illegally entering, being present in or residing in the Requesting State, in accordance with the provisions of this Agreement;","„ponovni sprejem“ pomeni premestitev oseb s strani države prosilke in sprejem teh oseb s strani zaprošene države (državljanov zaprošene države, državljanov tretjih držav ali oseb brez državljanstva), ki so bile odkrite pri nezakonitem vstopu v državo prosilko ali je bila odkrita njihova nezakonita prisotnost ali nezakonito prebivanje v državi prosilki, v skladu z določbami tega sporazuma;"
‘Border crossing point’ shall mean any point designated for the purpose of crossing their respective borders by the Member States or Turkey;,"„mejni prehod“ pomeni katero koli točko, določeno za prehod meja držav članic ali Turčije;"
"‘Border region’ of the Requesting State shall mean an area within its territory extending inwards up to 20 kilometres from the external border of the Requesting State, whether or not the border is shared between the Requesting State and the Requested State as well as the sea ports including customs zones and international airports of the Requesting State.","„obmejno območje“ države prosilke pomeni območje, ki v ozemlje države prosilke sega 20 km od njenih zunanjih meja, ne glede na to, ali si država prosilka in zaprošena država mejo delita, pa tudi v pristaniščih, vključno s carinskimi conami in mednarodnimi letališči države prosilke."
Article 2,Člen 2
Scope,Področje uporabe
"The provisions of this Agreement shall apply to persons who do not or who no longer, fulfil the conditions for entry to, presence in, or residence on the territories of Turkey or one of the Member States of the Union.","Določbe tega sporazuma se uporabljajo za osebe, ki ne izpolnjujejo ali več ne izpolnjujejo pogojev za vstop, prisotnost ali prebivanje na ozemlju Turčije ali ene od držav članic Unije."
"The application of the present Agreement, including Paragraph 1 of this article, shall be without prejudice to the instruments enumerated in Article 18.","Uporaba tega sporazuma, vključno z odstavkom 1 tega člena, ne posega v instrumente, naštete v členu 18."
The present Agreement shall not apply to third country nationals or stateless persons as referred to Articles 4 and 6 who have left the territory of the Requested State more than five years before the Requesting State's competent authorities has gained knowledge of such persons unless the conditions required for their readmission to the Requested State as stipulated by Articles 4 and 6 can be established by means of documents enumerated in Annex 3.,"Ta sporazum se ne uporablja za državljane tretjih držav ali osebe brez državljanstva iz členov 4 in 6, ki so zapustili ozemlje zaprošene države več kot pet let, preden so pristojni organi države prosilke izvedeli za take osebe, razen če je na podlagi dokumentov iz Priloge 3 mogoče ugotoviti, kateri pogoji veljajo za njihov ponovni sprejem v zaprošeni državi, kot je določeno v členih 4 in 6."
SECTION I,ODDELEK I
READMISSION OBLIGATIONS BY TURKEY,OBVEZNOSTI PONOVNEGA SPREJEMA TURČIJE
Article 3,Člen 3
Readmission of own nationals,Ponovni sprejem lastnih državljanov
"Turkey shall readmit, upon application by a Member State and without further formalities to be undertaken by that Member State other than those provided for in this agreement, all persons who do not or who no longer, fulfil the conditions in force under the law of that Member State or under the law of the Union for entry to, presence in, or residence on, the territory of the requesting Member State provided that in accordance with Article 9, it is established that they are nationals of Turkey.","Turčija na prošnjo države članice in brez dodatnih formalnosti za zadevno državo članico, razen tistih, določenih s tem sporazumom, ponovno sprejme vse osebe, ki ne izpolnjujejo ali več ne izpolnjujejo veljavnih pogojev iz nacionalne zakonodaje zadevne države članice ali zakonodaje Unije za vstop, prisotnost ali prebivanje na ozemlju države članice prosilke, če se v skladu s členom 9 ugotovi, da so državljani Turčije."
Turkey shall also readmit:,Turčija ponovno sprejme tudi:
"minor unmarried children of the persons mentioned in Paragraph 1 of this Article, regardless of their place of birth or their nationality, unless they have an independent right of residence in the requesting Member State or if the said independent right of residence is held by the other parent who has legal custody of the children concerned;","neporočene mladoletne otroke oseb iz odstavka 1 tega člena, ne glede na njihov kraj rojstva ali državljanstvo, razen če imajo neodvisno pravico prebivanja v državi članici prosilki ali če ima navedeno neodvisno pravico prebivanja drugi starš, ki je zakoniti skrbnik zadevnih otrok;"
"spouses, holding another nationality, of the persons mentioned in Paragraph 1 of this Article, provided they have the right to enter and stay or receive the right to enter and stay in the territory of Turkey unless they have an independent right of residence in the requesting Member State or unless it is demonstrated by Turkey that according to its national legislation the marriage in question is not legally recognised.","zakonce, ki imajo drugo državljanstvo, oseb iz odstavka 1 tega člena, če imajo pravico vstopa in prebivanja ali dobijo pravico vstopa in prebivanja na ozemlju Turčije, razen če imajo neodvisno pravico prebivanja v državi članici prosilki ali če Turčija dokaže, da zadevna zakonska zveza v skladu z njeno nacionalno zakonodajo ni pravno priznana."
"Turkey shall also readmit persons who in accordance with the Turkish legislation have been deprived of, or who have renounced, the nationality of Turkey since entering the territory of a Member State, unless such persons have at least been promised naturalisation by that Member State.","Turčija ponovno sprejme tudi osebe, ki jim je bilo v skladu s turško zakonodajo po vstopu na ozemlje države članice odvzeto državljanstvo Turčije ali so se mu odpovedale, razen če zadevna država članica ni vsaj obljubila takim osebam sprejem v državljanstvo."
"After Turkey has given a positive reply to the readmission application or, where appropriate, after expiry of the time limits laid down in Article 11(2), the competent consular office of Turkey shall, irrespective of the will of the person to be readmitted, within three working days, issue the travel document required for the return of the person to be readmitted with a period of validity of three months.","Ko Turčija izda pozitiven odgovor na prošnjo za ponovni sprejem ali, če je to primerno, ko potečejo roki iz člena 11(2), pristojno konzularno predstavništvo Turčije, ne glede na voljo osebe, ki jo je treba ponovno sprejeti, v treh delovnih dneh izda potno listino, potrebno za vrnitev osebe, ki jo je treba ponovno sprejeti, z obdobjem veljavnosti treh mesecev."
"In case there is no consular office of Turkey in a Member State or if Turkey has not, within three working days, issued the travel document, the reply to the readmission application shall be considered as the necessary travel document for the readmission of the person concerned.","Če Turčija nima konzularnega predstavništva v državi članici ali če ni izdala potne listine v treh delovnih dneh, velja odgovor na prošnjo za ponovni sprejem kot potrebna potna listina za ponovni sprejem zadevne osebe."
"If, for legal or factual reasons, the person concerned cannot be transferred within the period of validity of the travel document that was initially issued, the competent consular office of Turkey shall, within three working days, issue a new travel document with a period of validity of the same duration.","Če iz pravnih ali dejanskih razlogov zadevne osebe ni mogoče premestiti v obdobju veljavnosti prvotno izdane potne listine, pristojno konzularno predstavništvo Turčije v treh delovnih dneh izda novo potno listino z enakim obdobjem veljavnosti."
Article 4,Člen 4
Readmission of third-country nationals and stateless persons,Ponovni sprejem državljanov tretjih držav in oseb brez državljanstva
